Lith,depo poro,Athy k,Athy k,Compress. Y Max.,Compress. Y Min.,"Schneider Factor,ka","Schneider Factor,kb","Schneider Factor,£X",Reciprocal Compaction Factor,Vert. Cond.,Anisotr.,Sp. Heat Cap.,Th. Sort. Fac.,Den.,U,Th,K,Radioactive Heat,Perm. Anisotr.,Porosity at point 1,Porosity at point 2,Porosity at point 3,Permeability at Point 1,Permeability at Point 2,Permeability at Point 3,Entry Pr. at Porosity 1%,Entry Pr. at Porosity 25%,aToEntryPr,bToEntryPr
,%,1/km,1/Mpa,1e-7/kPa,1e-7/kPa,1/Mpa,1/Mpa,digit,1/km,W/(mK),,J/(kgK),f,kg/m^3,ppm,ppm,%,£gW/m^3,,%,%,%,log mD,log mD,log mD,Mpa,Mpa,Mpa,digit
    typical,39.000000,0.330000,0.027720,267.300000,11.200000,0.019810,0.042120,0.200000,,3.200000,1.250000,845.000000,1.000000,2730.000000,3.000000,8.000000,2.500000,1.580000,5.000000,1.000000,25.000000,39.000000,-1.800000,3.000000,4.510000,1.000000,0.060000,1.120000,-0.048000
    quartz-rich,41.000000,0.300000,0.026230,267.100000,11.600000,0.040940,0.017500,0.200000,,4.050000,1.200000,860.000000,1.000000,2690.000000,2.000000,6.000000,0.900000,1.010000,4.000000,1.000000,25.000000,41.000000,-1.800000,3.000000,4.730000,1.000000,0.060000,1.120000,-0.048000
    quartz-poor,40.000000,0.320000,0.026460,263.900000,11.100000,0.040000,0.018120,0.200000,,2.000000,1.500000,835.000000,1.000000,2770.000000,3.000000,8.000000,2.500000,1.600000,7.000000,1.000000,25.000000,40.000000,-2.300000,2.500000,4.120000,1.320000,0.080000,1.470000,-0.048000
    clay-rich,40.000000,0.320000,0.026610,265.400000,11.100000,0.040000,0.018120,0.200000,,2.300000,1.450000,865.000000,1.000000,2760.000000,2.000000,7.000000,3.600000,1.370000,10.000000,1.000000,25.000000,40.000000,-2.800000,2.000000,3.620000,1.740000,0.120000,1.940000,-0.048000
    clay-poor,39.000000,0.320000,0.027220,258.900000,11.200000,0.040630,0.018120,0.200000,,4.000000,1.120000,835.000000,1.000000,2710.000000,2.000000,7.000000,1.000000,1.100000,4.000000,1.000000,25.000000,39.000000,-1.800000,3.000000,4.510000,1.000000,0.060000,1.120000,-0.048000
    dolomite-rich,39.000000,0.320000,0.026580,252.800000,11.000000,0.038750,0.018120,0.200000,,4.350000,1.050000,850.000000,1.000000,2750.000000,1.500000,5.100000,3.600000,1.100000,5.000000,1.000000,25.000000,39.000000,-2.300000,2.500000,4.010000,1.320000,0.080000,1.470000,-0.048000
  wacke,39.000000,0.340000,0.027730,271.100000,10.900000,0.019920,0.041920,0.200000,,2.600000,1.400000,850.000000,1.000000,2780.000000,2.500000,8.000000,2.500000,1.470000,7.000000,1.000000,25.000000,39.000000,-2.800000,2.000000,3.510000,1.740000,0.120000,1.940000,-0.048000
Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  typical,70.000000,0.830000,0.096130,4032.700000,40.300000,0.191570,0.052700,0.350000,,1.640000,1.600000,860.000000,1.380000,2700.000000,3.700000,12.000000,2.700000,2.030000,1.200000,1.000000,25.000000,70.000000,-8.520000,-3.000000,-1.000000,41.020000,5.360000,46.580000,-0.055000
  org.-lean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    typical,70.000000,0.830000,0.096130,4032.700000,40.300000,0.191570,0.052700,0.350000,,1.700000,1.550000,860.000000,1.350000,2700.000000,3.700000,12.000000,2.700000,2.030000,1.200000,1.000000,25.000000,70.000000,-8.520000,-3.000000,-1.000000,41.020000,5.360000,46.580000,-0.055000
    sandy,65.000000,0.830000,0.089990,3005.200000,38.700000,0.174790,0.053400,0.330000,,1.840000,2.000000,860.000000,1.640000,2700.000000,2.800000,11.000000,2.500000,1.710000,1.500000,1.000000,25.000000,65.000000,-8.420000,-2.000000,1.000000,38.820000,2.500000,45.000000,-0.064000
    silty,67.000000,0.830000,0.092300,3373.400000,39.400000,0.183940,0.053570,0.340000,,1.770000,1.800000,860.000000,1.510000,2700.000000,3.000000,11.000000,2.600000,1.780000,1.300000,1.000000,25.000000,67.000000,-8.470000,-2.500000,0.500000,39.900000,3.660000,45.780000,-0.060000
"    silic.,typical",70.000000,0.830000,0.095560,4007.500000,40.100000,0.190430,0.052380,0.350000,,1.900000,1.170000,860.000000,1.000000,2710.000000,2.000000,4.500000,2.000000,1.020000,1.500000,1.000000,25.000000,70.000000,-8.470000,-2.000000,1.300000,39.900000,2.500000,46.310000,-0.065000
"    silic.,95% Opal-CT",80.000000,0.830000,0.146310,7397.500000,37.800000,0.332480,0.069830,0.400000,,1.750000,1.160000,860.000000,1.000000,2330.000000,1.000000,1.300000,1.000000,0.380000,1.100000,1.000000,25.000000,80.000000,-8.420000,-1.500000,-1.000000,38.820000,1.710000,45.520000,-0.069000
  black,70.000000,0.830000,0.109310,4584.300000,45.800000,0.223480,0.060820,0.350000,,0.900000,3.270000,940.000000,2.400000,2500.000000,19.000000,11.000000,2.500000,5.440000,5.000000,1.000000,25.000000,70.000000,-8.520000,-3.000000,-1.000000,41.020000,5.350000,46.580000,-0.055000
  organic-rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    typical,70.000000,0.830000,0.109310,4291.100000,42.900000,0.185490,0.052650,0.300000,,1.250000,2.190000,900.000000,1.760000,2600.000000,5.000000,12.000000,2.800000,2.290000,5.000000,1.000000,25.000000,70.000000,-8.520000,-3.000000,-1.000000,41.020000,5.350000,46.580000,-0.055000
    3% TOC,70.000000,0.830000,0.101650,4264.100000,42.600000,0.207820,0.056560,0.350000,,1.450000,1.840000,880.000000,1.540000,2610.000000,5.000000,12.000000,2.800000,2.300000,2.000000,1.000000,25.000000,70.000000,-8.520000,-3.000000,-1.000000,41.020000,5.350000,46.580000,-0.055000
    8% TOC,70.000000,0.830000,0.109310,4584.300000,45.400000,0.223480,0.060820,0.350000,,1.200000,2.200000,900.000000,1.740000,2500.000000,10.000000,11.000000,2.900000,3.340000,5.000000,1.000000,25.000000,70.000000,-8.520000,-3.000000,-1.000000,41.020000,5.350000,46.580000,-0.055000
    20% TOC,70.000000,0.830000,0.129750,5441.200000,54.400000,0.265270,0.072190,0.350000,,0.800000,3.090000,980.000000,2.220000,2270.000000,20.000000,11.000000,2.600000,5.170000,10.000000,1.000000,25.000000,70.000000,-8.520000,-3.000000,-1.000000,41.020000,5.350000,46.580000,-0.055000
Siltstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  org.-lean,55.000000,0.510000,0.049070,1036.100000,21.100000,0.031650,0.086110,0.280000,,2.050000,1.500000,910.000000,1.000000,2720.000000,2.000000,5.000000,1.000000,0.960000,10.000000,1.000000,25.000000,55.000000,-6.280000,-1.000000,0.710000,11.900000,1.170000,13.430000,-0.053000
  organic-rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    typical,55.000000,0.510000,0.049370,1042.200000,21.200000,0.031850,0.086600,0.280000,,2.010000,1.710000,940.000000,1.470000,2710.000000,2.000000,5.000000,1.000000,0.960000,10.000000,1.000000,25.000000,55.000000,-6.280000,-1.000000,0.710000,11.900000,1.170000,13.430000,-0.053000
    >10% TOC,55.000000,0.510000,0.054590,1152.600000,23.500000,0.091190,0.034190,0.280000,,1.820000,2.640000,960.000000,2.030000,2550.000000,15.000000,6.000000,2.000000,4.210000,10.000000,1.000000,25.000000,55.000000,-6.280000,-1.000000,0.710000,11.900000,1.170000,13.430000,-0.053000
    2-3% TOC,55.000000,0.510000,0.049660,1048.700000,21.400000,0.032040,0.087140,0.280000,,2.000000,1.760000,930.000000,1.520000,2700.000000,2.500000,6.500000,2.000000,1.280000,10.000000,1.000000,25.000000,55.000000,-6.280000,-1.000000,0.710000,11.900000,1.170000,13.430000,-0.053000
Conglomerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  typical,30.000000,0.300000,0.024290,142.100000,8.800000,0.018970,0.032280,0.150000,,2.300000,1.050000,820.000000,1.000000,2700.000000,1.500000,4.000000,2.000000,0.850000,1.100000,1.000000,25.000000,30.000000,-2.800000,2.000000,4.000000,1.740000,0.120000,1.940000,-0.048000
  quartzitic,30.000000,0.300000,0.024290,142.100000,8.800000,0.018970,0.032280,0.150000,,6.100000,1.050000,780.000000,1.000000,2700.000000,1.000000,4.000000,1.200000,0.650000,1.100000,1.000000,25.000000,30.000000,-2.800000,2.000000,4.000000,1.740000,0.120000,1.940000,-0.048000
Tuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
